monster1,monster2,monster1_win_pct,monster2_win_pct
Bat,Hawk,50.0%,50.0%
Bat,Quipper,50.0%,50.0%
Bat,Weasel,50.0%,50.0%
Bugbear,Green Dragon Wyrmling,50.0%,50.0%
Giant Constrictor Snake,Gibbering Mouther,50.0%,50.0%
Giant Sea Horse,Wolf,50.0%,50.0%
Giant Shark,Gorgon,50.0%,50.0%
Lamia,Wyvern,50.0%,50.0%
Pony,Sahuagin,50.0%,50.0%
Ape,Spy,49.9%,50.1%
Bearded Devil,Bugbear,49.9%,50.1%
Berserker,Gibbering Mouther,50.1%,49.9%
Black Bear,Giant Poisonous Snake,49.9%,50.1%
Black Pudding,Bronze Dragon Wyrmling,49.9%,50.1%
Blue Dragon Wyrmling,Giant Constrictor Snake,50.1%,49.9%
Constrictor Snake,Wolf,49.9%,50.1%
Giant Scorpion,Green Dragon Wyrmling,50.1%,49.9%
Giant Wasp,Wolf,49.9%,50.1%
Giant Weasel,Wolf,49.9%,50.1%
Gray Ooze,Skeleton,49.9%,50.1%
Grimlock,Magma Mephit,50.1%,49.9%
Panther,Wolf,49.9%,50.1%
Adult Brass Dragon,Stone Golem,50.2%,49.8%
Adult Bronze Dragon,Fire Giant,49.8%,50.2%
Basilisk,Giant Elk,49.8%,50.2%
Copper Dragon Wyrmling,Phase Spider,50.2%,49.8%
Deep Gnome (Svirfneblin),Hippogriff,49.8%,50.2%
Giant Goat,Rust Monster,49.8%,50.2%
Giant Weasel,Panther,50.2%,49.8%
Gray Ooze,Sahuagin,50.2%,49.8%
Hill Giant,Young Brass Dragon,50.2%,49.8%
Medusa,Vampire Spawn,50.2%,49.8%
Ogre,Unicorn,50.2%,49.8%
Pseudodragon,Quasit,50.2%,49.8%
Azer,Swarm of Quippers,49.7%,50.3%
Brown Bear,Ettercap,49.7%,50.3%
Bugbear,Dire Wolf,50.3%,49.7%
Chain Devil,Green Hag,49.7%,50.3%
Cloaker,Nightmare,49.7%,50.3%
Crocodile,Orc,49.7%,50.3%
Gibbering Mouther,"Weretiger, Human Form",50.3%,49.7%
Gladiator,Water Elemental,49.7%,50.3%
Goblin,Noble,49.7%,50.3%
Green Dragon Wyrmling,Hell Hound,50.3%,49.7%
Half-Red Dragon Veteran,Unicorn,49.7%,50.3%
